Branch,Supermarket_chain,latitude,longitude,address,Town,County
Naivas Ronald-ngala,Naivas,-1.285673,36.827768,"TCF ACCESSORIES, Ronald Ngala Street, Nairobi, 00101, Kenya",Nairobi,Nairobi
Naivas Tassia,Naivas,-1.3082873,36.9024043,"unnamed road, Nairobi, 00501, Kenya",Nairobi,Nairobi
Naivas Hazina,Naivas,-1.31420608,36.84897261,"pub C-One, Black Spot, Nairobi, 00603, Kenya",Nairobi,Nairobi
Naivas Westlands,Naivas,-1.26456737,36.80265541,"Travellers Forex Bureau, The Mall, Westlands Roundabout, Nairobi, 97104, Kenya",Nairobi,Nairobi
Naivas Komarock,Naivas,-1.2682906,36.90840657,"unnamed road, Nairobi, 00518, Kenya",Nairobi,Nairobi
Naivas Elgon View,Naivas,0.5159829,35.2775914,"Comfy Inn Eldoret, Ronald Ngala Street, Kimumu ward, 30100, Kenya",Eldoret,Uasin Gishu
Naivas Eastern-bypass,Naivas,-1.1691558,36.9698001,"Eastern Bypass, Gatongora ward, Kenya",Nairobi,Nairobi
Naivas Ruaraka,Naivas,-1.24745049,36.8725955,"Outer Ring Road, Nairobi, 00623, Kenya",Nairobi,Nairobi
Naivas Buru,Naivas,-1.29362962,36.8758859,"The Point Mall, Rabai Road, Nairobi, 00515, Kenya",Nairobi,Nairobi
Naivas Umoja,Naivas,-1.278868,36.9004664,"Kayole Spine Road, Nairobi, 00518, Kenya",Nairobi,Nairobi
Naivas Kitui,Naivas,-1.3660323,38.0090502,"Kilugya Street, Kitui, Kenya",Kitui,Kitui
Naivas Capital Center,Naivas,-1.31638079,36.83456311,"Rehebeam Agencies Ltd, Mombasa Road, Nairobi, 00603, Kenya",Nairobi,Nairobi
Naivas Kilimani,Naivas,-1.29050447,36.78819243,"Tigoni Road, Nairobi, 44847, Kenya",Nairobi,Nairobi
Naivas Githurai,Naivas,-1.20539629,36.91763379,"unnamed road, Kiambu, 00608, Kenya",Kiambu,Kiambu
Naivas Lavington curve,Naivas,-1.27964997,36.76862039,"Isaac Gathanju Road, Nairobi, 54102, Kenya",Nairobi,Nairobi
Naivas South C,Naivas,-1.32200348,36.82748884,"Java south c, Five Stars Road, Nairobi, 00603, Kenya",Nairobi,Nairobi
Naivas Moi Avenue,Naivas,-1.28339105,36.8236195,"Moi Avenue, Nairobi, 00300, Kenya",Nairobi,Nairobi
Naivas Mountain mall,Naivas,-1.23243297,36.87358321,"Naivas Supermarket, Thika Road, Nairobi, 00623, Kenya",Nairobi,Nairobi
Naivas Lang'ata,Naivas,-1.34380508,36.7477915,"unnamed road, Nairobi, 00509, Kenya",Nairobi,Nairobi
Naivas Utawala,Naivas,-1.28847818,36.9500239,"Astrol utawala, Eastern Bypass, Nairobi, 55145, Kenya",Nairobi,Nairobi
Naivas Saika,Naivas,-1.25777997,36.9164816,"unnamed road, Nairobi, 55145, Kenya",Nairobi,Nairobi
Naivas Development house,Naivas,-1.28794187,36.82728682,"Mater Hospital, Moi Avenue, Nairobi, 00300, Kenya",Nairobi,Nairobi
Naivas Airport View,Naivas,-1.35714572,36.90807454,"Shell- Syokimau, Mombasa Road, Syokimau, 74416, Kenya",Syokimau,Nairobi
Naivas Gateway mall,Naivas,-1.3641551,36.91200288,"Equity Bank, Mombasa Road, Nairobi, 74416, Kenya",Nairobi,Nairobi
Naivas Lifestyle,Naivas,-1.28110767,36.8182604,"Monrovia Street, Nairobi, 46464, Kenya",Nairobi,Nairobi
Naivas Prestige,Naivas,-1.30031048,36.7871082,"Mugo Kibiru Road, Nairobi, 44847, Kenya",Nairobi,Nairobi
Naivas Green House,Naivas,-1.3005015,36.78140242,"Ryden International, 4th Floor, The GreenHouse (Near Adams Arcade), Ngong Road, Nairobi, 44847, Kenya",Nairobi,Nairobi
Naivas Eastgate,Naivas,-1.28723891,36.88247534,"unnamed road, Nairobi, 00515, Kenya",Nairobi,Nairobi
Naivas bamburi,Naivas,-4.00235341,39.7014103,"UCB4;Mombasa, Shanzu ward, 80101, Kenya",Mombasa,Mombasa
Naivas bungoma,Naivas,0.56095519,34.5606816,"Bungoma Bus Station, Moi Avenue, Bungoma Township ward, 50200, Kenya",Bungoma,Bungoma
Naivas digo road,Naivas,-4.06194686,39.67179558,"Bima Towers Building, 81599 Digo Road, Mombasa, 80100, Kenya",Mombasa,Mombasa
Naivas kahawa west,Naivas,-1.18363701,36.90229228,"Kahawa Station Road, Nairobi, 00607, Kenya",Nairobi,Nairobi
Naivas kangemi,Naivas,-1.26595905,36.74910771,"Hinga Road, Nairobi, 00625, Kenya",Nairobi,Nairobi
Naivas kiambu road,Naivas,-1.2258536,36.83834911,"Naivas Food Market, Kiambu Road, Nairobi, 00621, Kenya",Nairobi,Nairobi
Naivas Kasarani,Naivas,-1.2187615,36.8959174,"Kasarani Mwiki Road, Nairobi, 00608, Kenya",Nairobi,Nairobi
Naivas home ground,Naivas,-1.35599728,36.66879741,"unnamed road, Oloolua ward, Kenya",Ngong,Kajiado
Naivas kitengela mall,Naivas,-1.47907023,36.9583902,"Kitengela Mall, Namanga Road, Kitengela, Kenya",Kitengela,Kajiado
